season no.,episode no.,episode name,name,line
1,1,Pilot,Rick,"Mm, there is no God, Summer. You gotta rip that band-aid off now. Youll thank me later."
1,1,Pilot,Jerry,"Okay, with all due respect, Rick what am I talking about What respect is due How is my son supposed to pass his classes if you keep dragging him off for high-concept Sci-Fi rigamarole"
1,1,Pilot,Rick,"Listen, Jerry. I-I-I dont want to overstep my bounds or anything. Its your house. Its your world. Youre a real Julius Caesar but Ill tell you somethingtell you how I feel about school, Jerry. Its a waste of time.  Buncha people running around, bumping into each other. G-guy up front says, two plus two. The people in the back say, four. Then thethen the bell rings, and they give you a carton of milk and a piece of paper that says you can go take a dump or something. I mean, its not a place for smart people, Jerry. And I know thats not a popular opinion, but its my two cents on the issue.  This was a good breakfast, Beth. You really made the crap out of those eggs. I wish your mother was here to eat them."
1,1,Pilot,Beth,"Oh, dad"
1,1,Pilot,Jerry,What For real
1,1,Pilot,Mr. Goldenfold,"Alright, now, everybody get settled. Get away from the windows"
1,1,Pilot,Mr. Goldenfold,"Now, look, were gonna be dealing with some real serious stuff today. You might have heard of it. Its called math And without it, none of us would even exist, so lets jump right in. Two plus two."
1,1,Pilot,Morty,Jessica.
1,1,Pilot,Mr. Goldenfold,Five plus five.
1,1,Pilot,Morty,Jessica.
1,1,Pilot,Mr. Goldenfold,"Okay, good. Its time for the quiz."
1,1,Pilot,Mr. Goldenfold,"Yeah, you know what Aw, too bad Tough First row, take one. Pass it back for me. The stakes are high in this room.  Theres crucial things happening here every day. People getting smarter. Some of yall getting dumber. Some of yall aint gonna see 3"
1,1,Pilot,Jessica,"Hi, Morty."
1,1,Pilot,Morty,"Whoa Hi, Jessica."
1,1,Pilot,Jessica,Can I show these to you
1,1,Pilot,Morty,Wow. Th-theyre both great. Thank you
1,1,Pilot,Jessica,You know what I named these My little Morties.
1,1,Pilot,Morty,"Uh, thats flattering... and a little weird."
1,1,Pilot,Jessica,Do you know what I want you to do with them
1,1,Pilot,Morty,Rename them
1,1,Pilot,Jessica,"Squeeze them. Manhandle them. Give them the business. See if you can shuffle them. I mean, really get in there and knock them around. No wrong answers."
1,1,Pilot,Morty,"Wow. Well, okay, Jessica. L-lets give this a shot."
1,1,Pilot,Jessica,"Mm. Oh, Morty. What are you doing to me"
1,1,Pilot,Morty,"Uh, I-Im just doing my best."
1,1,Pilot,Mr. Goldenfold,Morty What are you doing to me
1,1,Pilot,Morty,"Ah, Jessica."
1,1,Pilot,Mr. Goldenfold,Morty
1,1,Pilot,Morty,Jessica.
1,1,Pilot,Mr. Goldenfold,"Five more minutes of this, and Im gonna get mad."
1,1,Pilot,Morty,Je-Jessica. Jessica.
1,1,Pilot,Mr. Goldenfold,Not my fault this is happening.
1,1,Pilot,Morty,"Uh, morning, Frank."
1,1,Pilot,Morty,"Oh, geez, Frank. I dont know if a knife is necessary. I mean, you know, y-you kind of had things handled without it."
1,1,Pilot,Rick,"There you are, Morty. Listen to me. I got an errand to run in a whole different dimension. I need an extra pair of hands."
1,1,Pilot,Morty,"Oh, geez, Rick. W-w-whatd you do to Frank"
1,1,Pilot,Rick,"Its pretty obvious, Morty. I froze him. Now listen I need your help, Morty. I mean, we got we got to get get the hell out of here and go take care of business.  Its important. Come on, Morty."
1,1,Pilot,Morty,"I dont know, Rick. I cant leave school again."
1,1,Pilot,Rick,"Do you have any concept of how much higher the stakes get out there, Morty What do you think I can just do it all by myself Come on"
1,1,Pilot,Morty,"Aw, geez. Okay. I guess I can skip history. What about Frank I mean, shouldnt you unfreeze him"
1,1,Pilot,Rick,"Ill do it later, Morty. Hell be fine. Lets go."
1,1,Pilot,Summer,"Hi, Frank."
1,1,Pilot,Summer,AAAAAAAAAAAHHHHH
1,1,Pilot,Beth,Scalpel.
1,1,Pilot,Jerry,"Knock, knock."
1,1,Pilot,Beth,Jerry
1,1,Pilot,Jerry,"My manager gave me an hour for lunch, and I thought, hey, why not swing by where your wife works"
1,1,Pilot,Beth,"Jerry, please tell me youre here for an incredibly urgent reason."
1,1,Pilot,Jerry,"Well, its lunch. I mean, its one of three meals that have existed for millennia."
1,1,Pilot,Beth,"Okay, I only ask, Jerry, because, as you know, my job involves performing heart surgery."
1,1,Pilot,Jerry,"Well, yeah, on horses."
1,1,Pilot,Beth,Excuse me
1,1,Pilot,Jerry,"Okay, Lets not rehash that fight. I sense that youre busy and will now be on my way."
1,1,Pilot,Jerry,"Whoa What is this on the floor Some kind of literature for a really nice-looking nursing home. Hey, honey, crazy idea bad pitch lets put your dad here. Lets put your dad in a nursing home."
1,1,Pilot,Beth,"Hey, Tom We know when were losing him. WE CAN HEAR THE BEEPS"
1,1,Pilot,Rick,"There she is. All right. Come on, Morty. Lets go."
1,1,Pilot,Morty,"Oh, geez, okay."
1,1,Pilot,Morty,"Oh, man, Rick. What is this place"
1,1,Pilot,Rick,"Its Dimension 35-C, and its got the perfect climate conditions for a special type of tree, Morty, called a Mega Tree, and theres fruit in those trees, and theres seeds in those fruits. Im talking about Mega Seeds. Theyre theyre incredibly powerful, and I need them to help me with my research, Morty."
1,1,Pilot,Morty,"Oh, man, Rick. Im looking around this place, and Im starting to work up some anxiety about this whole thing."
1,1,Pilot,Rick,"All right, all right, calm down. Listen to me, Morty. I know that new situations can be intimidating. Youre looking around, and its all scary and different, but, you know, m-meeting them head on, charging right into them like a bull thats how we grow as people. Im no stranger to scary situations. I deal with them all the time. Now, if you just stick with me, Morty, were gonna be"
1,1,Pilot,Rick,"HOLY CRAP, MORTY RUN"
1,1,Pilot,Rick,"I never seen that thing before in my life. I dont even know what the hell it is We got to get out of here, Morty Its gonna kill us Were gonna die Were gonna die, Morty"
1,1,Pilot,Rick,"Oh, Morty, take a deep breath. Breathe that breathe that fresh air in, Morty. Y-you smell that Thats the smell of adventure, Morty. Thats thats the smell of-of-of-of a whole different evolutionary timeline."
1,1,Pilot,Morty,"All right, Rick, look how much longer is this gonna be Shouldnt I be back at school by now"
1,1,Pilot,Rick,"Are you joking me I mean, look at all the crazy crap surrounding us. Look at that thing right there.  What the hell is that thing You think youre gonna see that kind of thing at school  Look at it just lumbering around.  It defies all logic, that thing."
1,1,Pilot,Morty,"Yeah, Rick, I get it. Were surrounded by monsters. Thats kind of the reason why I want to leave."
1,1,Pilot,Rick,"Ta-ta-ta-ta-ta-ta. Morty, you see this"
1,1,Pilot,Rick,"You see what we just stumbled upon, Morty Any idea what that is down there"
1,1,Pilot,Morty,The mega trees
1,1,Pilot,Rick,"Thats right, Morty the mega trees with the mega fruit on them and thats what Im talking about, Morty. Thats where my seeds are. If we would have done what you wanted, I would have never have found them, because youre so in love with school."
1,1,Pilot,Morty,"All right, all right. So, whats so special about these seeds, anyways"
1,1,Pilot,Rick,"You ask a lot of questions, Morty. Not very charismatic. It makes you kind of an  under-  underfoot figure."
1,1,Pilot,Rick,"Just take these shoes, Morty. Theyre  special grappling shoes. When youre wearing these things, these babies, you can basically just walk on any surface you want, Morty up, down, below, turn around to the left. These things really bring it all together."
1,1,Pilot,Morty,AAAAAAAHHHH
1,1,Pilot,Rick,"You have to turn them on, Morty The shoes have to be turned on"
1,1,Pilot,Beth,"I am not putting my father in a home He just came back into my life, and you want to grab him and stuff him under a mattress like last months Victorias Secret"
1,1,Pilot,Jerry,"I told you I was ordering you something for Valentines Day. More importantly, your father is a horrible influence on our son."
1,1,Pilot,Beth,"Its fine, Davin."
1,1,Pilot,Jerry,"Since were fighting, if you ever have an affair with that guy, I will come to the hotel room and blow my brains out all over your naked bodies."
1,1,Pilot,Beth,"Look, I appreciate the stress youre under, but Morty was having trouble in school way before my dad moved in, and the only influence I can see Rick having is that, for the first time in his life, Morty has a friend."
1,1,Pilot,Jerry,"Well, maybe youre right."
1,1,Pilot,Beth,"Uh, yeah, maybe I am. Im my fathers daughter. Im smart. Why do you think Im a heart surgeon"
1,1,Pilot,Jerry,"Ahem, Horse heart surgeon."
1,1,Pilot,Principal Vagina,"Hello Mrs. Smith This is Principal Vagina, no relation. I wonder if you and Mortys father might be able to have a chat with me this afternoon"
1,1,Pilot,Rick,"Morty, oh, you really d-did a number on  your legs right now. You know, you got to turn  the shoes on, Morty, for them to work. Yeah, look I turned mine on. I had no problem getting down here. It was a leisurely breeze."
1,1,Pilot,Morty,"Im in a lot of pain, Rick"
1,1,Pilot,Rick,"Yeah, I can see that. But do you think youll still be able to help me collect my seeds, Morty"
1,1,Pilot,Morty,"Are you kidding me Thats it, Rick Thats the last straw I cant believe this Im sitting here with both of my legs broken, and youre still asking me about getting those seeds Ooh Ow Oh Y-y-youre a monster. Y-youre like Hitler, but-but even Hitler cared about Germany or something."
1,1,Pilot,Rick,"Okay, hold on just a second, Morty."
1,1,Pilot,Morty,Ooh Ohh Ooh Hnngh Hoo Ooh Ohh Aaaaagh Oooooh
1,1,Pilot,Morty,"Ooh, Ohh, Ooh. Wow, Rick. That stuff just healed my broken legs instantly. I mean, Ive never felt so good in my life. Thank you."
1,1,Pilot,Rick,"Dont worry about it, Morty. Just come help me get these seeds, all right, buddy"
1,1,Pilot,Morty,"Sure thing, Rick."
1,1,Pilot,Rick,"Not that you asked, Morty, but what just happened there is I went into a future dimension with such advanced medicine that they had broken-leg serum at every corner drugstore.  The stuff was all over the place, Morty."
1,1,Pilot,Morty,"Wow, thats pretty crazy, Rick."
1,1,Pilot,Rick,"Theres just one problem, Morty one little hang-up. The dimension I visited was so advanced, that  they had also halted the aging process, and everyone there was young, Morty, and they had been forever. I was the only old person there, Morty.  It was like I was some sort of, you know, celebrity, walking around. I-I was fascinating to them. There were a lot of attractive women there, Morty, and they-they-they they all wanted time with me. I had a lot of fun with a lot of young ladies, but I spent so much time there, my interdimensional portal device its got no charge left, Morty. Its got no charge left."
1,1,Pilot,Morty,What
1,1,Pilot,Rick,"Its as good as garbage, Morty. Its not gonna work anymore, Morty."
1,1,Pilot,Morty,"Oh, geez, Rick, thats not good. W-what are we gonna do I-I have to be back at school right now. How are we gonna get back home"
1,1,Pilot,Rick,"Theres ways to get back home, Morty. Its just its just gonna be a little bit of a hassle. Were gonna have to go through interdimensional customs, so youre gonna have to do me a real solid."
1,1,Pilot,Morty,Uh-oh.
1,1,Pilot,Rick,"When we get to customs, Im gonna need you to take these seeds into the bathroom, and Im gonna need you to put them way up inside your butthole, Morty."
1,1,Pilot,Morty,In my butt
1,1,Pilot,Rick,"Put them way up inside there, as far as they can fit."
1,1,Pilot,Morty,"Oh, geez, Rick. I really dont want to have to do that."
1,1,Pilot,Rick,"Well, somebodys got to do it, Morty. Th-these seeds arent gonna get through customs unless theyre in someones rectum, Morty"
1,1,Pilot,Morty,Uuuh.
1,1,Pilot,Rick,"And theyll fall right out of mine. Ive done this too many times, Morty. I mean, youre young. Y-y-youve got your whole life ahead of you, and your anal cavity is still taut, yet malleable. You got to do it for grandpa, Morty. Y-  youve got to put these seeds inside your butt."
1,1,Pilot,Morty,In my butt
1,1,Pilot,Rick,"Come on, Morty. Please, Morty. You have to do it, Morty."
1,1,Pilot,Morty,"Oh, man."
1,1,Pilot,Principal Vagina,"The fact is, your son, Morty, has attended this school for a total of seven hours over the last two months."
1,1,Pilot,Beth,What Why didnt you notify us
1,1,Pilot,Principal Vagina,I done been notifying you. Have you not been getting the messages Ive been leaving with Mortys grandfather
1,1,Pilot,Jerry,"Boom Told you In your face He is ruining our child Wait, what am I celebrating"
1,1,Pilot,Principal Vagina,"Yeah, see, I thought something was fishy there, because its usually Mortys grandpa thats taking him out of school."
1,1,Pilot,Beth,Summer
1,1,Pilot,Summer,What kind of God lets this happen
1,1,Pilot,Principal Vagina,We had a little incident. A student was frozen to death.  And theres no evidence that a Latino student did it Everyone wants to take this to a racial place. I wont let them.
1,1,Pilot,Announcer,The glarp zone is for flarping and unglarping only.
1,1,Pilot,Announcer,The glarp zone is for flarping and unglarping only.
1,1,Pilot,Rick,"I dont like it here, Morty. I cant abide bureaucracy. I dont like being told where to go and what to do. I consider it a violation. Did you get those seeds all the way up your butt"
1,1,Pilot,Morty,"Yeah, Rick. Lets just get this over with, okay I mean, these things are pointy. They hurt."
1,1,Pilot,Rick,"That means theyre good ones. Youre a good kid, Morty. Those mega seeds are super valuable to my work. Youve been a huge help to me. Im gonna be able to do a-"
1,1,Pilot,Rick,Why does he have to go over there
1,1,Pilot,Rick,What new-  what new machine
1,1,Pilot,Rick,"Run, Morty Run"
1,1,Pilot,Morty,Aaaaaah
1,1,Pilot,Morty,Ohhhhh
1,1,Pilot,Morty,Ohhhhhh
1,1,Pilot,Morty,Aaaaah
1,1,Pilot,Rick,Dont think about it
1,1,Pilot,Rick,"Ooh Oh, nice, Morty The student becomes the teacher."
1,1,Pilot,Morty,Whoooooo
1,1,Pilot,Rick,"I need to type in the coordinates to our home world, Morty. Cover me."
1,1,Pilot,Morty,"Oh, man. I mean, you know, I-I dont want to shoot nobody."
1,1,Pilot,Rick,"Theyre just robots, Morty Its okay to shoot them Theyre robots"
1,1,Pilot,Morty,"Theyre not robots, Rick"
1,1,Pilot,Rick,"Its a figure of speech, Morty. Theyre bureaucrats. I dont respect them. Just keep shooting, Morty. You have no idea what prison is like here"
1,1,Pilot,Morty,Holy crap This is insane
1,1,Pilot,Rick,"Come on, Morty We got to get the hell out of here"
1,1,Pilot,Jessica,Wow. Did you just come into the cafeteria through a portal
1,1,Pilot,Morty,"Uh, yeah. Well, you know, my-my Ferraris in the shop.  Just kidding."
1,1,Pilot,Jessica,"Youre Morty, right"
1,1,Pilot,Morty,Yeah.
1,1,Pilot,Rick,"You can get his number later. Come on, Morty. We got to get out of here. You got to get those seeds out of your ass."
1,1,Pilot,Jerry,"Oh, look, honey. Its our son with Albert Ein-douche."
1,1,Pilot,Beth,What
1,1,Pilot,Jerry,"Im an angry father, not an improviser."
1,1,Pilot,Rick,"Oh, hi, Jerry. Oh, my goodness, Morty What are you doing out of class We talked about this. Your-your parents and I are very disappointed in-in this behavior... No No takers"
1,1,Pilot,Rick,You guys should really not be touching that stuff. Its beyond your reasoning.
1,1,Pilot,Jerry,Youre beyond our reasoning
1,1,Pilot,Rick,Takes one to know one.
1,1,Pilot,Beth,"Dad, how could you make my son miss an entire semester of school I mean, its not like hes a hot girl. He cant just bail on his life and set up shop in someone elses."
1,1,Pilot,Rick,What what are you guys doing with my stuff
1,1,Pilot,Beth,Were moving you to a nursing home.
1,1,Pilot,Rick,"A nursing home What are what are you, nuts Im a genius. I build robots for fun."
1,1,Pilot,Jerry,"Well, now you can build baskets and watch Paul Newman movies on VHS and mentally scar the Boy Scouts every Christmas."
1,1,Pilot,Beth,What does that mean
1,1,Pilot,Jerry,Its personal.
1,1,Pilot,Morty,"Dad, mom, come on. Rick just needed my help is all."
1,1,Pilot,Jerry,"Morty, stay out of this. You are obviously not capable of judging these situations on your own."
1,1,Pilot,Rick,What are you trying to say about Morty That hes stupid or something
1,1,Pilot,Beth,"Oh, dont high-road us, dad. You know fully well that Morty is the last child that needs to be missing classes."
1,1,Pilot,Rick,I-I-I dont know what you mean by that. Can can can you be a little bit more specific
1,1,Pilot,Jerry,"Oh, for crying outhes got some kind of disability or something. Is that what you want us to say"
1,1,Pilot,Morty,I do
1,1,Pilot,Jerry,"Well, duh doy, son. Look, I love you, Morty, but we both know youre not as fast as the other kids, and if you want to compete in this world, you got to work twice as hard."
1,1,Pilot,Morty,"Aw, geez, dad. Y-you know, thats a lot to drop on a kid all at once."
1,1,Pilot,Rick,"Morty, t-tell your parents the square root of pi."
1,1,Pilot,Morty,"Oh, come on, Rick. You know I cant."
1,1,Pilot,Rick,"The square root of Pi, Morty. Go"
1,1,Pilot,Morty,1.77245385... Whoa
1,1,Pilot,Beth,What the hell
1,1,Pilot,Jerry,Holy crap. Hes right.
1,1,Pilot,Rick,"Morty, tell your parents the first law of Thermodynamics."
1,1,Pilot,Morty,The increment in the internal energy of a system is equal to the increment of heat supplied to the system. Wow Im so smart
1,1,Pilot,Jerry,But
1,1,Pilot,Rick,I told the both of you school is stupid. Its not how you learn things. Mortys a gifted child. He has a special mind. Thats why hes my little helper. Hes like me. Hes gonna be doing great science stuff later in his life. Hes too smart for school. He needs to keep hanging out and helping me.
1,1,Pilot,Beth,"Jerry, I dont want whatevers happening here to stop."
1,1,Pilot,Jerry,"No, I-I understand. Uh, maybe we overreacted. But he has to keep going to school."
1,1,Pilot,Rick,"Okay, Jerry. You drive a hard bargain, but what am I supposed to do Say no You-you really wear the pants around here. I just want you to know, between us, from now on, its gonna be clear communication."
1,1,Pilot,Summer,Frank Palicky was frozen to death today
1,1,Pilot,Rick,No idea what youre talking about.
1,1,Pilot,Jerry,"Okay. Well, uh, Morty, its your bedtime in an hour. Dont stay up all night again. This is good, though. This can work. I think we can be a family and now, Beth, if youll have me, I would love to have you."
1,1,Pilot,Beth,You know what Okay.
1,1,Pilot,Morty,"Holy cow, Rick. I didnt know hanging out with you was making me smarter."
1,1,Pilot,Rick,"Full disclosure, Morty its not. Temporary superintelligence is just a side effect of the mega seeds dissolving in your rectal cavity."
1,1,Pilot,Morty,"Aw, man."
1,1,Pilot,Rick,"Yeah, and once those seeds wear off, youre gonna lose most of your motor skills, and youre also gonna lose a significant amount of brain functionality for 72 hours, Morty."
1,1,Pilot,Morty,"Ohh, man.  Oh, geez Ohh."
1,1,Pilot,Rick,"Im sorry, Morty. Its a bummer. In reality, youre as dumb as they come and I needed those seeds real bad, and I had to give them up just to get your parents off my back, so now were gonna have to go get more adventures.  And then were gonna go on even more adventures after that, Morty and youre gonna keep your mouth shut about it, Morty, because the world is full of idiots that dont understand whats important, and theyll tear us apart, Morty but if you stick with me, Im gonna accomplish great things, Morty, and youre gonna be part of them, and together, were gonna run around, Morty. Were gonna do all kinds of wonderful things, Morty. Just you and me, Morty. The outside world is our enemy, Morty. Were the only friends weve got, Morty. Its just Rick and Morty. Rick and Morty and their adventures, Morty. Rick and Morty forever and forever. Mortys things. Me and Rick and Morty running around, and Rick and Morty time. All day long, forever. All a hundred days. Rick and Morty forever 100 times. Over and over, rickandmortyadventures.com. All 100 years. Every minute, rickandmorty.com."
1,2,Lawnmower Dog,Jerry,What Why are you looking at me You want to go outside Outside
1,2,Lawnmower Dog,Jerry,Outside
1,2,Lawnmower Dog,Jerry,Are you kidding me Come on
1,2,Lawnmower Dog,Summer,"Oh, my God."
1,2,Lawnmower Dog,Morty,Whats wrong
1,2,Lawnmower Dog,Jerry,Your idiot dog
1,2,Lawnmower Dog,Morty,"Oh, he he didnt mean it, dad. Did you, snuffles Youre a good boy."
1,2,Lawnmower Dog,Jerry,"Dont praise him now, Morty He just peed on the carpet Bad dog Bad"
1,2,Lawnmower Dog,Rick,"Morty, come on. I need your help tonight."
1,2,Lawnmower Dog,Jerry,"Hey, wait, hold on a second, Rick. You wouldnt by any chance have some sort of crazy science thing you could whip up that might help make this dog a little smarter, would you"
1,2,Lawnmower Dog,Rick,"I thought the whole point of having a dog was to feel superior, Jerry. If I were you, I wouldnt pull that thread. Come on, Morty."
1,2,Lawnmower Dog,Jerry,"Listen, Rick, if youre gonna stay here rent-free and use my son for your stupid science, the least you could do is put a little bit of it to use for the family. You make that dog smart or Mortys grounded"
1,2,Lawnmower Dog,Summer,Ha-ha
1,2,Lawnmower Dog,Morty,"Aw, man"
1,2,Lawnmower Dog,Rick,"Boy, you really got me up against a wall this time, Jerry."
1,2,Lawnmower Dog,Rick,"All right, Ruffles Whats his name"
1,2,Lawnmower Dog,Morty,Snuffles.
1,2,Lawnmower Dog,Rick,"Snuffles, shake."
1,2,Lawnmower Dog,Rick,Roll over.
1,2,Lawnmower Dog,Rick,Go to the bathroom.
1,2,Lawnmower Dog,Jerry,Holy crap
1,2,Lawnmower Dog,Summer,No way.
1,2,Lawnmower Dog,Rick,"Yeah, youre at the top of your game now, Jerry. Have fun. Come on, Morty."
1,2,Lawnmower Dog,Morty,"That was fantastic, Rick"
1,2,Lawnmower Dog,Rick,"Yeah, Morty, if you like that, boy, youre youre really going to flip your lid over this one."
1,2,Lawnmower Dog,Morty,W-w-w-what is it
1,2,Lawnmower Dog,Rick,"Its a device, Morty, that when you put it in your ear, you can enter peoples dreams, Morty. Its just like that movie that you keep crowing about."
1,2,Lawnmower Dog,Morty,You talking about Inception
1,2,Lawnmower Dog,Rick,"Thats right, Morty. This is gonna be a lot like that, except, you know, its gonna may--be make sense."
1,2,Lawnmower Dog,Morty,Inception made sense.
1,2,Lawnmower Dog,Rick,"You dont have to try to impress me, Morty. Listen, tonight were gonna go into the home of your math teacher, Mr. Goldenfold, and were gonna incept the idea in his brain to give you As in math, Morty. That way you can, you know, y-youre gonna help me with my science, Morty, all the time."
1,2,Lawnmower Dog,Morty,"Geez, Rick, in the time it took you to make this thing, couldnt you have just, you know, helped me with my homework"
1,2,Lawnmower Dog,Rick,"Are you listening to me, Morty Homework is stupid. The whole point is to get less of it."
1,2,Lawnmower Dog,Rick,"Come on, lets just get over there and deal with this thing. W-were gonna incept your teacher. Youre frustrating me."
1,2,Lawnmower Dog,Mrs. Pancakes,You dont know me
1,2,Lawnmower Dog,Mr. Goldenfold," Nice, Mrs. Pancakes real nice."
1,2,Lawnmower Dog,Mrs. Pancakes,You dont know me
1,2,Lawnmower Dog,Rick,Uh-oh Spoilers
1,2,Lawnmower Dog,Rick,Im a full season behind.
1,2,Lawnmower Dog,Morty,"Wow, Rick, I cant believe were sitting around, standing around in Mr. Goldenfolds house. Its really weird."
1,2,Lawnmower Dog,Rick,"Its about to get a whole lot weirder, Morty."
1,2,Lawnmower Dog,Mrs. Pancakes,Wheat thins. Wheat thins.
1,2,Lawnmower Dog,Mr. Goldenfold,Ill take two.
1,2,Lawnmower Dog,Mrs. Pancakes,"Oh, I think youve had enough, sir."
1,2,Lawnmower Dog,Rick,"All right, Morty, time to make our move."
1,2,Lawnmower Dog,Mr. Goldenfold,Make it bounce.
1,2,Lawnmower Dog,Mrs. Pancakes,"No, you didnt."
1,2,Lawnmower Dog,Mr. Goldenfold,"Oh, jiggle it now."
1,2,Lawnmower Dog,Mrs. Pancakes,You better stop with that.
1,2,Lawnmower Dog,Rick,Allahu  akbar Were gonna take control of this plane Were gonna 9/11 it unless Morty Smith gets better grades in math
1,2,Lawnmower Dog,Rick,"Hey I said nobody move, buddy"
1,2,Lawnmower Dog,Mr. Goldenfold,The names not buddy. Its Goldenfold. Nice to wheat you
1,2,Lawnmower Dog,Rick,"Take cover, Morty"
1,2,Lawnmower Dog,Mr. Goldenfold,AAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHHHHHHHH
1,2,Lawnmower Dog,Morty,Ooohhh
1,2,Lawnmower Dog,Rick,"Goldenfolds got more control here than I anticipated. I mean, the guy teaches high-school math.  I didnt take him for an active dreamer. Weve got to take him out so he wakes up, Morty but we cant get killed. If you get killed in someone elses dream, you die for real, Morty."
1,2,Lawnmower Dog,Morty,What Are you kidding me Ohhhhhh
1,2,Lawnmower Dog,Rick,"Dont be a baby You avoid getting shot in real life all the time, Morty. Just do the same thing here, and well be fine"
1,2,Lawnmower Dog,Jerry,Now bring me my slippers.
1,2,Lawnmower Dog,Summer,"Now, be my footstool, Snuffles."
1,2,Lawnmower Dog,Jerry,This is what Im talking about. This is a dog.
1,2,Lawnmower Dog,Jerry,"You said the same thing, equally sarcastically, at our wedding and guess what"
1,2,Lawnmower Dog,Snuffles,Ooowwwwowowwaawaa
1,2,Lawnmower Dog,Summer,"Oh, my God Hes trying to tell us something.  That is so awesome."
1,2,Lawnmower Dog,Snuffles,Aaaawwaaaaawaawa
1,2,Lawnmower Dog,Jerry,"Aw, hes saying I love lasagna."
1,2,Lawnmower Dog,Snuffles,Ooooyayawawa
1,2,Lawnmower Dog,Summer,"Hes saying I love Obama.  So cute Im posting this  online, like, right now."
1,2,Lawnmower Dog,Jerry,I should call Bob Saget. Is that still a thing
1,2,Lawnmower Dog,Snuffles,Hmm
1,2,Lawnmower Dog,Rick,"Goldenfold, were coming out We just want to talk"
